CustCode	Name	Date of Birth	Postcode	Validuntil
C2082Bris	Patrick Siah Sidharta	4/09/1997	4075	
C2083Bris	Sok Michaelidis Soon	18/04/1955	4066	
C2084Bris	Anthony Li Soon	22/04/1949	4143	
C2085Bris	Deepam Nassar Soesetyo	12/01/1946	4130	
C2086Bris	Kenneth Wijaya Sidharta	18/06/1999	4035	
C2087Bris	Benjamin Tze Soneville	18/09/1989	4007	
C2088Bris	Esther Andrew Soon	4/12/1980	4106	
C208Bris	Lachlan Moss Chan	2/08/1962	4142	
C2090Bris	Esther Gayler Spanio	9/07/1952	4016	
C2091Bris	Natasha Lin Silva	6/09/1971	4038	
C2092Bris	Tony David Soneville	3/10/1995	4107	
C2095Bris	Juan Chen Silva	10/08/1954	4083	
C2098Bris	Qing Ka Stewart	5/06/1954	4010	
C2102Bris	Zhanibek Fakhruddin Song	21/05/1989	4029	
C2103Bris	Kim Ming Spence-Pearse	20/11/1967	4133	
C2106Bris	Anna Gan Song	27/11/1962	4034	
C2108Bris	Yingshuang Usama Stubbs	2/03/1957	4083	
C2109Bris	Matthew Fakhruddin Stubbs	13/01/1974	4104	
C2111Bris	Eugene Martin Spiteri-Staines	16/11/1957	4031	
C2114Bris	Tim Jonathan Standfield	31/01/1999	4078	
C2115Bris	Arun Vitti Suarez	9/12/1988	4015	
C2116Bris	Ricky Sze Standfield	18/10/1985	4121	
C2117Bris	Aurelio Zajac Suarez	19/05/1953	4123	
C2118Bris	Daniel Ma Standfield	13/06/1997	4051	
C211Bris	Privantha Daniel Chakravarti	25/11/1996	4010	
C2120Bris	Jikang Sachdeva Subagio	27/08/1993	4023	
C2128Bris	Wai Stert Tammy	14/12/1951	4025	
C2132Bris	Andrew Chintan Sun	11/06/1995	4003	
C2135Bris	Chhayraksmey Victor Sun	11/08/1960	4139	
C2136Bris	Gustavo Tien Stephen	8/11/1954	4121	
C2137Bris	Mark Luther Tan	5/12/1989	4128	
C2138Bris	Kar Tse Stephen	28/04/1957	4151	
C2139Bris	Ming Liondas Tan	28/04/1949	4027	
C2140Bris	Tania Ruan Sun	30/05/1959	4052	
C2141Bris	Jiacheng Ruan Stephen	28/11/1961	4138	
C2143Bris	Vincent Lim Tan	2/10/1956	4072	
C2144Bris	Anela Ka Stephen	25/11/1956	4137	
C2145Bris	David Macdonald Tan	2/12/1959	4091	
C2148Bris	Danni Chen Sun	16/09/1983	4020	
C2151Bris	Debojyoti Dunn Sun	23/04/1955	4105	
C2155Bris	Man Scott Tang	12/07/1958	4072	
C2156Bris	Teck Patricia Suyanto	3/10/1952	4083	
C2159Bris	Chengen Ali Tan	21/08/1983	4052	
C215Bris	Nathan Meng Chan	19/09/1994	4077	
C2161Bris	Nouras Nee Suyanto	12/02/1984	4042	
C2162Bris	Ching Ma Tan	4/09/1963	4150	
C2164Bris	Manuja Kenny Suyanto	9/05/1963	4062	
C2167Bris	Shangzhen Nguyen Tan	30/10/1993	4146	
C2168Bris	Anneliese Menting Tan	19/07/1962	4096	
C2169Bris	Matthew Kaimakamis Svensson	10/09/1977	4154	
C216Bris	Arun Hassan Chan	3/08/1959	4079	
C2170Bris	Paul Daswani Tang	9/08/1953	4090	
C2171Bris	Henrique Vincent Tan	7/08/1985	4110	
C2173Bris	Wendy Elizabeth Tang	10/05/1956	4148	
C2183Bris	Ping Ling Tang	28/07/1960	4033	
C2186Bris	Xun Vun Syah	26/03/1982	4001	
C2187Bris	Elisa Macciolli Ta	11/10/1951	4026	
C2188Bris	Esther Clive Tasevski	17/12/1962	4015	
C2189Bris	Jack Ford Tang	16/05/1978	4021	
C2190Bris	Chieh Chung Tasevski	12/06/1991	4051	
C2191Bris	Louis Duan Tammy	23/03/1954	4045	
C2192Bris	Ying Cheah Tang	1/07/1955	4108	
C2194Bris	Weng Shea Tassi	23/10/1954	4040	
C2195Bris	Martin Lim Tang	25/04/1954	4008	
C2196Bris	Purwoko Jin Tassi	31/08/1969	4122	
C2199Bris	Christina Anthony Tay	8/07/1980	4110	
C219Bris	Benjamin Zenon Chan	4/12/1966	4117	
C21Bris	Weng Ma Alvarado	15/06/1953	4062	
C2202Bris	Jeffrey Alwuthaynani Teh	16/10/1996	4036	
C2206Bris	Choon Isabel Taylor	4/04/1990	4101	
C2207Bris	Sarah Chan Tang	9/09/1971	4074	
C2210Bris	Victoria Fabricio Teng	5/05/1966	4109	
C2212Bris	Peta Chin Teo	11/12/1962	4060	
C2213Bris	Lillian Lin Tchea	12/09/1969	4159	
C2215Bris	Ka Jamil Teo	19/12/1958	4105	
C2218Bris	Peter Fallon Teo	27/12/1967	4099	
C2219Bris	Alvin Ooi Tchung	26/01/1991	4087	
C221Bris	Isabella Mulki Chan	24/02/1998	4066	
C2220Bris	Justin Anggoro Terence	20/10/1964	4022	
C2221Bris	Mun Robertson Tee	21/12/1976	4037	
C2222Bris	Ping Michael Terence	13/05/1968	4138	
C2224Bris	Arun Blanche Thir	15/08/1952	4125	
C222Bris	Sujono Zhang Chan	2/08/1961	4084	
C2232Bris	Chi Lui Thozhukkattu	10/10/1966	4049	
C2236Bris	Daniel Hua Thozhukkattu	21/11/1992	4000	
C2239Bris	Sim Elizabeth Thurecht	15/08/1973	4090	
C2240Bris	Emily Catherine Thurecht	17/04/1963	4117	
C2241Bris	Meera John Tham	17/11/1971	4044	
C2242Bris	Peijia Rusli Tjandra	24/12/1970	4009	
C2243Bris	Janet Fernanda Thuy	6/01/1969	4139	
C2244Bris	Tomohito Pan Tham	21/10/1961	4033	
C2245Bris	Yu Adam Tjie	7/09/1992	4148	
C2247Bris	Katie Low Tjio	10/01/1957	4021	
C2248Bris	Nan Lucas Thuy	6/09/1992	4036	
C2249Bris	Chia Keung Tjondro	15/11/1956	4088	
C224Bris	Ling Jin Chan	22/07/1983	4102	
C2252Bris	Amalie Leong Thuy	27/01/1953	4091	
C2255Bris	Chang Liang Tjongue	23/01/1996	4072	
C2259Bris	Dewi Zhang Thay	15/03/1987	4103	
C2260Bris	Tzu Michael Tjongue	8/02/1979	4149	
C2263Bris	Xingda Kan To	23/08/1954	4012	
C2265Bris	Ming Chua Tien	5/07/1956	4098	
C2266Bris	Sarah Wijesekera Thay	26/02/1973	4048	
C2268Bris	Timothy Spence-Pearse To	6/05/1952	4051	
C2271Bris	Chia Paul Turetsky	23/01/1952	4149	
C2272Bris	Robert Lee Tien	2/04/1993	4114	
C2273Bris	Shangzhen Wong To	7/12/1997	4083	
C2274Bris	Geoffrey Zhang To	17/02/1988	4097	
C2275Bris	Justin Moon Turner	22/02/1960	4022	
C2277Bris	Craig Luan Ting	9/09/1993	4059	
C227Bris	Sabooh Isabel Chan	10/05/1982	4153	
C2285Bris	Salman Julie Toh	29/08/1987	4123	
C2289Bris	Fengmin Emmerich V	22/03/1962	4021	
C228Bris	Tsz Chyi Chan	20/12/1950	4056	
C2292Bris	Kanok Chui-Mei V	11/05/1952	4040	
C2293Bris	Sree Ang Toh	27/03/1957	4010	
C2294Bris	Ying Louise Tjandra	3/02/1985	4065	
C2295Bris	Chhayraksmey Tsz Tjandra	12/05/1965	4122	
C2296Bris	Hanny Beng Toh	21/09/1955	4065	
C2297Bris	Qi Yuen V	30/07/1980	4090	
C2298Bris	Venkataramana Marie Vegesna	30/12/1979	4032	
C229Bris	Jingjing Ng Chan	30/11/1995	4112	
C22Bris	Prasanna DelCiotto Alvarado	16/03/1990	4069	
C2300Bris	Robert Zhou V	30/06/1984	4027	
C2301Bris	Thomas Gray Vegesna	26/05/1993	4061	
C2302Bris	Yifei Henry Tokura	13/06/1980	4005	
C2305Bris	Rocio Lyn Tjandra	27/11/1996	4024	
C2308Bris	Huan Ng V	30/01/1957	4062	
C230Bris	Theodore Cameron Chan	22/01/1994	4148	
C2312Bris	Prakash Alexander Tong	13/10/1952	4142	
C2313Bris	Alex Allan Vadakkeveettil	19/07/1961	4137	
C2316Bris	Katie Wong Vejar	24/07/1979	4048	
C2318Bris	Peter Phillip Vainshtein	31/08/1988	4094	
C2319Bris	Bill Kin Vainshtein	7/04/1999	4118	
C231Bris	Wan Yuk Chan	22/04/1962	4068	
C2321Bris	Katie Kan Trew	17/06/1957	4085	
C2324Bris	Weng Feng Vainshtein	7/06/1997	4105	
C2325Bris	Lachlan Phong Vernon	19/08/1968	4142	
C2326Bris	Ning Victor Vanny	2/12/1988	4018	
C2327Bris	Olivia Joowon Tsan	7/12/1997	4109	
C2328Bris	Weijia Zeng Wai	26/05/1955	4077	
C2330Bris	Julian Jimenez Vernon	30/06/1960	4102	
C2338Bris	Chun Lin Vidhyakovit	19/09/1957	4060	
C233Bris	Kwong Ho Chan	2/12/1956	4018	
C2342Bris	Hooi-Ling Ming Wai	21/01/1961	4066	
C2345Bris	Tural Timothy Vidhyakovit	18/06/1999	4091	
C2346Bris	Yifei Pang Wai	19/05/1970	4052	
C2347Bris	Hok Fei Vidhyakovit	26/03/1953	4144	
C2348Bris	Jordan Wijewardena Vass	30/07/1955	4115	
C2349Bris	Varesh Li Wajsbrem	13/06/1985	4118	
C2350Bris	Juan Wan	29/09/1978	4029	2/03/2018
C2350Bris	Juan Wan	29/09/1978	4139	
C2352Bris	Lily Dsouza Villagomez	9/03/1967	4063	
C2353Bris	Stefanus A Villagomez	30/01/1958	4013	
C2354Bris	Tianyi Hong Wakista	14/04/1952	4080	
C2357Bris	Gary Nagpaul Wang	6/01/1986	4121	
C2360Bris	Robert Jonathan Villagomez	30/06/1964	4155	
C2364Bris	Chun Chung Wang	1/03/1955	4004	
C2365Bris	Hock Phaik Wallace	20/03/1978	4155	
C2368Bris	Chao-Chih Hei Wallace	1/07/1978	4144	
C2370Bris	Aurelio Tong Wang	18/10/1986	4118	
C2371Bris	Ludmilla Chen Wang	24/07/1951	4027	
C2373Bris	Jeffrey Danbo Wai	26/04/1956	4004	
C2376Bris	Shu-Ket Duan Wang	8/09/1960	4043	
C2377Bris	Sujono Rusli Wang	29/08/1957	4148	
C2378Bris	Kam Yeung Wang	1/11/1953	4153	
C2379Bris	Paul Lim Wang	25/06/1950	4108	
C2380Bris	Carmen Earle Wang	29/03/1971	4012	
C2382Bris	Hin Vipinchandra Wang	24/11/1951	4134	
C2390Bris	Mei Stephens Wang	25/08/1966	4071	
C2394Bris	Eddie Entwisle Wang	10/06/2000	4096	
C2397Bris	Nicholas Sehmbi Wang	24/09/1958	4074	
C2398Bris	Patrick Kei Wang	27/11/1998	4128	
C2399Bris	Yifei Sie Wang	22/09/1992	4046	
C23Bris	Bo-Youn Wandera Alwuthaynani	8/06/1953	4024	
C2400Bris	Catherine Bello Wang	27/11/1992	4006	
C2401Bris	Maree Yi Wang	13/03/1954	4013	
C2402Bris	Chandra Hua Wang	31/10/1956	4102	
C2403Bris	Ming Fitradi Wang	1/08/1992	4104	
C2405Bris	Sreenath Lin Wang	18/12/1962	4033	
C2406Bris	Leon Wandera Weng	24/02/1960	4024	
C2407Bris	Hok Buxton Weng	7/10/1952	4096	
C2410Bris	Amalie George Weng	21/06/1953	4031	
C2413Bris	Eugene Gerald Wang	25/06/1998	4012	
C2417Bris	Tengteng Tze Wibowo	29/04/1952	4026	
C2418Bris	Ying Pattali Wei	2/04/1967	4045	
C2421Bris	Marcus James Wibowo	3/03/1958	4078	
C2423Bris	Charles Juliana Wibowo	7/03/1961	4019	
C2424Bris	Sally Yen Wei	4/03/1984	4112	
C2426Bris	Robert Wong Wibowo	15/09/1977	4128	
C2429Bris	Justin Widjaya Wilson	19/01/1966	4147	
C2430Bris	Margaret Yan Wilson	29/10/1987	4031	
C2431Bris	Megan Thomas Widjaja	4/11/1977	4099	
C2432Bris	Peijia Law Wei	16/02/1959	4037	
C2433Bris	Maria Chow Wilson	9/11/1993	4070	
C2435Bris	Robyn Tuyet Widjaja	28/04/1956	4091	
C2443Bris	Mark Soo Wong	14/10/1968	4109	
C2447Bris	Dewi Maree Wong	21/08/1950	4043	
C244Bris	Urmila Yi-Min Chan	18/05/1958	4043	
C2450Bris	Mithila Soerjono Wong	21/01/1969	4117	
C2451Bris	Shirlina Ming William	17/01/1954	4123	
C2452Bris	Sue Nigro Woodford	8/06/1989	4129	
C2453Bris	Wendy Andrew Wong	31/07/1966	4137	
C2454Bris	Anthony Jen Wong	8/04/1959	4008	
C2455Bris	Hui Pui Woodford	28/02/1959	4144	
C2456Bris	Jarrod Daniel William	16/11/1997	4158	
C2458Bris	Shirley Lakshmi Woodford	31/08/1981	4022	
C2459Bris	Zhanibek Liang Wong	26/01/1951	4058	
C2460Bris	Feiyi Tjongue Wong	23/07/1967	4103	
C2463Bris	Ka Saha Wilmot	15/09/1964	4119	
C2466Bris	David Sigit Wong	14/07/1999	4123	
C2470Bris	David Entwisle Wilson	23/09/1970	4023	
C2471Bris	Stewart Ng Wu	28/08/1957	4062	
C2474Bris	Pablo Low Wong	1/03/1956	4040	
C2476Bris	Jingjing James Wong	8/04/1977	4019	
C2477Bris	Winnie Mccleary Wu	26/12/1952	4145	
C2479Bris	Hai-Fan Deng Wu	6/09/1979	4145	
C247Bris	Purwoko Elizabeth Chang	26/05/1990	4078	
C2482Bris	Jiale Lim Wong	23/04/1973	4036	
C2483Bris	Maria Dong Wu	26/10/1960	4069	
C2484Bris	Nima Siddique Xiang	11/07/1999	4023	
C2485Bris	Gabriela Alzahrani Xiao	23/03/1955	4067	
C2486Bris	Gustavo Wong Wu	10/11/1973	4032	
C2488Bris	Aleck Chye-Hwa Wu	7/12/1951	4153	
C248Bris	Shawn Colin Chang	28/04/1953	4017	
C2496Bris	Michael Thurecht Xie	27/08/1987	4104	
C249Bris	Chuyang Brian Chang	30/04/1964	4019	
C24Bris	Jessica Danbo Alwuthaynani	25/02/1955	4057	
C2500Bris	Ashish Suyanto Wu	30/03/1987	4069	
C2503Bris	Fei Zoma Wong	15/02/1975	4077	
C2504Bris	Julia Shi Xie	6/01/1949	4152	
C2505Bris	Paul Yau Wu	28/05/1956	4024	
C2506Bris	Ka-Lam Adam Xu	24/04/1994	4113	
C2507Bris	Helena Wan Xu	20/04/1970	4078	
C2508Bris	Jason Kee Wong	16/04/1985	4092	
C2509Bris	Margaret Sun Wu	15/11/1975	4027	
C250Bris	Ka-Lam Sorrell Chang	11/12/1998	4144	
C2511Bris	David Menting Xu	23/02/1980	4073	
C2512Bris	Karen Joanne Wong	5/05/1958	4107	
C2513Bris	Mingyu Thornton Xu	21/02/1991	4063	
C2516Bris	Kevin Ch'ien Wong	17/08/1953	4075	
C2519Bris	Glen Peter Xu	25/05/1982	4106	
C251Bris	Benjamin Yu Chang	7/07/1972	4041	
C2523Bris	Eng Chan Wong	2/12/1997	4118	
C2524Bris	Greg Chen Wu	21/03/1960	4144	
C2527Bris	Siqi Wei-Yang Xiang	25/10/1970	4145	
C2529Bris	Tristram Leung Wong	17/08/1956	4066	
C252Bris	Igor Alberto Chang	23/06/1958	4076	
C2530Bris	Xin Awan Xu	7/01/1963	4116	
C2532Bris	Shangzhen Adam Xu	24/03/1985	4100	
C2535Bris	David Alexander Xu	22/02/1961	4065	
C2536Bris	Alison Kistler Xu	8/02/1956	4109	
C2537Bris	Gary Triswardono Xu	24/08/1958	4022	
C2538Bris	Cary Chia Xu	28/09/1998	4012	
C2539Bris	Thao Anuraag Xu	9/06/1958	4042	
C253Bris	Rakkhi Lorenzo Chang	6/06/1997	4135	
C2541Bris	Patrick Li Xu	21/09/1989	4106	
C2549Bris	Xun Xu Xu	14/07/1970	4043	
C2553Bris	Jonathan Hume Yan	16/10/1965	4151	
C2556Bris	Aleck Pattali Yan	18/02/1974	4148	
C2557Bris	Martin John Yao	8/12/1997	4076	
C2558Bris	Ankur Carroll Yan	29/03/1995	4138	
C2559Bris	Andy Yan	15/04/1998	4071	
C255Bris	Jason Armstrong Charles	13/01/1963	4127	
C2560Bris	Pablo Xu Yan	20/08/1963	4108	
C2561Bris	Vonny Wakista Yan	28/10/1949	4030	
C2562Bris	Marcus Aggarwal Yarwood	26/11/1979	4147	
C2564Bris	Man Heng Yeh	8/06/1958	4085	
C2565Bris	Emily Choon Yeo	21/11/1954	4019	
C2566Bris	Sarah Michael Yeo	9/04/1961	4066	
C2569Bris	Kun Leng Yeung	27/02/1965	4152	
C256Bris	Natasha Kai Charles	30/09/1988	4029	
C2572Bris	Lawrence Singh Yeung	28/06/1955	4099	
C2576Bris	Phew Robertson Yeung	26/09/1999	4057	
C2577Bris	Hong John Yeung	26/07/1998	4082	
C257Bris	Mengxue Chai Charles	29/12/1986	4110	
C2580Bris	Hao Yeen Yew	6/07/1998	4137	
C2582Bris	Anna Heng Yezhuvath	5/09/1989	4027	
C2583Bris	Fiona Joan Yezhuvath	11/06/2000	4134	
C2585Bris	David Sun Yezhuvath	10/07/1997	4077	
C2588Bris	Michael Collin Yi	30/07/1984	4088	
C2589Bris	Leo McIlroy Yin	11/07/1955	4048	
C2590Bris	Sijing Yang Yin	26/10/1961	4128	
C2591Bris	Chun Ford Yin	2/11/1998	4117	
C2592Bris	Yunfei Siok Yin	30/11/1955	4107	
C2594Bris	Ross Timothy Yin	12/01/1958	4100	
C25Bris	Igor Hwei Alwuthaynani	21/05/1981	4131	
C2602Bris	Denis Armansyah Yip	10/02/1982	4073	
C2606Bris	Jingyi Hu Yu	9/11/1993	4123	
C2609Bris	Jeffrey Sun Yu	15/07/1975	4049	
C260Bris	Pearl Gordon Charles	12/04/1998	4154	
C2610Bris	Seung Triswardono Yong	26/09/1957	4070	
C2611Bris	Mun Weber Yu	8/05/1989	4074	
C2612Bris	Nathalia Prasanga Yong	24/07/1982	4147	
C2613Bris	Alice Wong Yu	28/05/1951	4088	
C2614Bris	Wan Belilovsky Yoong	13/11/1959	4148	
C2615Bris	Pablo Matheu Yuan	26/08/1964	4024	
C2617Bris	Luke Cheong Yuan	16/06/1986	4064	
C2618Bris	Qi Silviana Yu	12/04/1968	4122	
C2619Bris	Hin Triswardono Yusoff	30/07/1994	4079	
C2622Bris	Lu Abela Yusoff	3/09/1957	4122	
C2625Bris	Robyn Xue Yusuf	11/04/1959	4075	
C2629Bris	Woo-Jung Loong Zajac	6/06/1977	4030	
C2630Bris	Angela Chu Zajac	23/09/1953	4051	
C2633Bris	Shreyak Berlin Yun	26/12/1996	4097	
C2635Bris	Tiehua Hossain Zeng	9/04/1950	4074	
C2636Bris	Jacqueline John Yun	9/01/1960	4050	
C2638Bris	George Chung Zhai	18/06/1951	4142	
C263Bris	Ting Chua Chauhan	30/11/1978	4028	
C2641Bris	Fang Edward Zhang	8/12/1951	4112	
C2642Bris	Shuangchao Nensi Zhang	11/05/1952	4041	
C2643Bris	Robert Yong Zhang	12/05/1998	4042	
C2644Bris	Stella Beng Zhang	16/05/1984	4028	
C2645Bris	Donny Lin Zhang	16/12/1969	4032	
C2647Bris	Alexis Nicholas Zhang	20/07/1998	4134	
C2655Bris	Li Esteban Zhao	23/03/1975	4139	
C2659Bris	Phillip Jin Zhou	13/02/1953	4154	
C2662Bris	David Alnozha Zhao	23/05/1956	4096	
C2663Bris	Yongchao Beng Zhou	18/05/1961	4120	
C2664Bris	Daniel Stuart Zhou	18/01/1953	4057	
C2665Bris	Hongtao Rogers Zheng	8/07/1996	4053	
C2666Bris	Eka Tsang Zhou	8/03/1967	4152	
C2667Bris	Yuanxi Friedman Zheng	6/10/1990	4021	
C2668Bris	Nathan Tang Zheng	15/06/1959	4080	
C2670Bris	Sandra Weber Zhou	19/02/1956	4138	
C2671Bris	Zheo Foo Zhou	7/07/1985	4127	
C2672Bris	Dang Cheung Zhou	1/09/1954	4060	
C2675Bris	Daniel Ng Zhou	30/08/1975	4112	
C2678Bris	Tanuj Clare	29/11/1958	4145	
C267Bris	Priya Ling Cheah	2/03/1979	4128	
C2682Bris	Ryan Fok Zhu	8/08/1957	4048	
C2683Bris	Marie Timothy Zoghi	10/04/1995	4144	
C2686Bris	Martin Yi	9/12/1969	4071	
C2688Bris	Jason Blanche	10/11/1997	4056	
C2689Bris	Winarto Loo Zoghi	26/03/1978	4078	
C268Bris	Nelson Isabel Cheah	10/09/1979	4057	
C2691Bris	Gerwin Hooi Zoghi	11/01/1997	4080	
C2694Bris	Tai Fang	9/03/1984	4077	
C2695Bris	Josh Sydney	16/04/1958	4059	
C2696Bris	Gustavo Mulki Zutt	20/08/1995	4009	
C2697Bris	Kanok Salim	24/07/1953	4072	
C2698Bris	Seng Tsun	20/01/1955	4055	
C2700Bris	James Ng Zutt	14/07/1955	4061	
C2708Bris	Benjamin Nhu Zwar	28/03/1975	4097	
C2712Bris	Dharmapoetra Sarah	10/03/2000	4121	
C2715Bris	Gangani Hume	23/05/1997	4115	
C2716Bris	Stanley Leon	23/03/1966	4062	
C2717Bris	Privantha Jane	6/10/1955	4127	
C2718Bris	Vincent Bagus	9/09/1961	4110	
C2719Bris	Yicun Allan	20/02/1961	4132	
C271Bris	Daniel Stephen Chen	20/01/1952	4023	
C2720Bris	Carl Chan	15/12/1984	4024	
C2721Bris	Felix Ming	20/12/1947	4132	
C2723Bris	Huey Jenkins	25/12/1952	4047	
C2724Bris	Iong Grattidge	26/06/1952	4034	
C2725Bris	Leonard Yuen	22/02/1953	4102	
C2728Bris	Felix Rong	14/01/1957	4128	
C2731Bris	Muhammad Pui	23/02/1958	4126	
C2735Bris	Greg Fitradi	5/12/1960	4004	
C2736Bris	Yili Hovelt	28/06/1987	4153	
C2739Bris	Chang Siourthas	19/08/1990	4042	
C273Bris	Yili Pau Chen	22/02/1984	4110	
C2741Bris	Cassio Mohammed	23/05/1998	4025	
C2742Bris	Thanh Hodder	1/05/1971	4033	
C2744Bris	Kei Nishimoto	31/05/1982	4005	
C2747Bris	Siobhan Usama	22/10/1968	4031	
C2748Bris	Kun Chen	19/04/1955	4096	
C2749Bris	Ricky Yu-Wen	7/12/1950	4131	
C274Bris	Miller Santos Chen	22/02/1997	4019	
C2750Bris	David Tang	7/06/1998	4109	
C2751Bris	Marie Chung	5/09/1988	4002	
C2753Bris	Justin Francisco	31/10/1953	4104	
C2761Bris	Sui Castrey	18/07/1991	4083	
C2765Bris	Fangning La	18/08/1953	4071	
C2768Bris	Anthony Andrew	7/02/1996	4001	
C2769Bris	Sujatha Hooi	16/03/1954	4096	
C276Bris	Benjamin Choon Chen	12/07/1967	4035	
C2770Bris	Zabe Tang	29/09/1959	4015	
C2771Bris	Audrey Chong	6/05/1998	4075	
C2772Bris	Leon Anuraag	20/10/1966	4097	
C2773Bris	Shenn Goh	11/08/1951	4026	
C2774Bris	Juan Guangjin	21/11/1958	4059	
C2776Bris	Shuangchao Au	8/06/1967	4149	
C2777Bris	Limelda Siu	29/07/1965	4158	
C2778Bris	Reshma Tien	22/06/1960	4045	
C2781Bris	Manicks Edward	21/12/1988	4040	
C2784Bris	Pik Ruwin	21/08/1952	4032	
C2788Bris	Vonny Tong	26/04/1951	4021	
C2789Bris	Hai-Fan Yek	28/10/1979	4114	
C2792Bris	Alexis Chan	22/04/1955	4038	
C2794Bris	Kuan-Yu Wong	30/07/1959	4111	
C2795Bris	Tsz John	19/12/1994	4055	
C2797Bris	Tiehua Browne	6/10/1959	4147	
C279Bris	Ling Zenon Chen	10/12/1979	4020	
C27Bris	David Dedeche Alwuthaynani	24/04/1982	4148	
C2800Bris	Janine Regmi	10/09/1958	4063	
C2801Bris	Vincent Chun	4/07/1957	4089	
C2802Bris	Jorge Sun	6/09/1959	4066	
C2803Bris	Nan Lakshmi	30/04/1998	4083	
C2804Bris	Wan Thornton	18/07/1952	4054	
C2806Bris	Thomas Nhu	9/06/2000	4055	
C280Bris	Fangning Tong Chen	19/04/1994	4010	
C2814Bris	Andrew Shen	28/08/1967	4022	
C2818Bris	Nouras Lo	22/04/1961	4094	
C281Bris	Justin Riadh Chen	21/01/1965	4012	
C2821Bris	Ee Ransley	8/03/1963	4063	
